Kalverstraat;2;;Groningen;9711AA;1;jan@home.nl;0612345678;aaaa
Hoofdstraat;1;;Groningen;9711AB;1;jan@home.nl;0612345679;aaaa
Eerstestraat;3;;Groningen;9711AC;1;jan@home.nl;0612345680;aaaa
Tweedestraat;45;a;Groningen;9711AD;1;jan@home.nl;0612345681;aaaa
Derdestraat;2;;Groningen;9711AE;1;jan@home.nl;0612345682;aaaa
Vierdestraat;3;;Groningen;9711AF;1;jan@home.nl;0612345683;aaaa
Vijfdestraat;4;;Groningen;9711AG;2;jan@home.nl;0612345684;aaaa
Zesdestraat;5;;Groningen;9711AH;2;jan@home.nl;0612345685;aaaa
Nieuwestraat;9;;Groningen;9711AI;2;jan@home.nl;0612345686;aaaa
Oudestraat;77;;Groningen;9711AJ;2;jan@home.nl;0612345687;aaaa
Driehoekstraat;6;;Groningen;9711AK;3;jan@home.nl;0612345688;aaaa
van Nassaustraat;145;a;Groningen;9711AL;3;jan@home.nl;0612345689;aaaa
van Damstraat;4;;Groningen;9711AM;4;jan@home.nl;0612345690;aaaa
Eringastraat;4;;Groningen;9711AN;5;jan@home.nl;0612345691;aaaa
Kloosterstraat;3;;Groningen;9711AO;5;jan@home.nl;0612345692;aaaa
Moeskerstraat;4;;Groningen;9711AP;5;jan@home.nl;0612345693;aaaa
Hooghoudtstraat;2;;Groningen;9711AQ;5;jan@home.nl;0612345694;aaaa
Jakobsstraat;2;;Groningen;9711AR;5;jan@home.nl;0612345695;aaaa
Willemsstraat;2;;Groningen;9711AS;4;jan@home.nl;0612345696;aaaa
Beatrixstraat;1;;Groningen;9711AT;4;jan@home.nl;0612345697;aaaa
Julianastraat;1;;Groningen;9711AV;4;jan@home.nl;0612345698;aaaa
Wilhelminastraat;1;;Groningen;9711AU;4;jan@home.nl;0612345699;aaaa
Amaliastraat;1;;Groningen;9711AW;4;jan@home.nl;0612345700;aaaa
Rozenstraat;8;;Groningen;9711AX;4;jan@home.nl;0612345701;aaaa
Dennenstraat;1;;Groningen;9711AY;4;jan@home.nl;0612345702;aaaa
Bloemenstraat;15;;Groningen;9711AZ;4;jan@home.nl;0612345703;aaaa
Dahliastraat;99;a;Groningen;9711BA;6;jan@home.nl;0612345704;aaaa
Begoniastraat;79;a;Groningen;9711BB;6;jan@home.nl;0612345705;aaaa
Akeleistraat;9;;Groningen;9711BC;6;jan@home.nl;0612345706;aaaa
Kierstraat;8;;Groningen;9711BD;6;jan@home.nl;0612345707;aaaa
Kijkduinstraat;6;;Groningen;9711BE;6;jan@home.nl;0612345708;aaaa
Beukenstraat;5;;Groningen;9711BF;6;jan@home.nl;0612345709;aaaa
Eikenstraat;43;;Groningen;9711BG;6;jan@home.nl;0612345710;aaaa
Rododendronstraat;2;;Groningen;9711BH;4;jan@home.nl;0612345711;aaaa
Fiekusstraat;2;;Groningen;9711BI;4;jan@home.nl;0612345712;aaaa
Houtzagerstraat;3;;Groningen;9711BJ;4;jan@home.nl;0612345713;aaaa
Steenbakkerstraat;6;;Groningen;9711BK;4;jan@home.nl;0612345714;aaaa
Wolkammerstraat;7;;Groningen;9711BL;4;jan@home.nl;0612345715;aaaa
Frisostraat;8;;Groningen;9711BM;4;jan@home.nl;0612345716;aaaa
Alexanderstraat;9;;Groningen;9711BN;4;jan@home.nl;0612345717;aaaa
Constantijnstraat;9;;Groningen;9711BO;4;jan@home.nl;0612345718;aaaa
Tussenstraat;6;;Leeuwarden;8913AA;4;jan@home.nl;0612345719;aaaa
Achterstraat;6;;Leeuwarden;8913AB;4;jan@home.nl;0612345720;aaaa
Voorstraat;43;;Leeuwarden;8913AC;4;jan@home.nl;0612345721;aaaa
Kanaalstraat;5;;Leeuwarden;8913AD;4;jan@home.nl;0612345722;aaaa
Rivierstraat;4;;Leeuwarden;8913AE;3;jan@home.nl;0612345723;aaaa
Meerstraat;6;;Leeuwarden;8913AF;3;jan@home.nl;0612345724;aaaa
Zeestraat;42;;Leeuwarden;8913AG;3;jan@home.nl;0612345725;aaaa
Asserstraat;4;;Leeuwarden;8913AH;3;jan@home.nl;0612345726;aaaa
Groningerstraat;2;;Leeuwarden;8913AI;3;jan@home.nl;0612345727;aaaa
Drachtsestraat;47;;Leeuwarden;8913AJ;3;jan@home.nl;0612345728;aaaa
